,YES_CHILD,R_HOME,D,F,G,H,I,J,M,N,O,P,R,S,U,X,Z,Male,customer_id2,net_purchase_amount,Sales_Quantity,Policy_Change,Treatment,customer_id,gender,age_band,est_income_code,ethnic_code,homeowner_code,length_of_residence,child,PC_Treatment
5524,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28498465,279.99,1.0,1,1.0,28498465.0,M,0.0,6.0,I,O,7.0,Y,1.0
5525,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28501607,67.15,1.0,0,1.0,28501607.0,F,0.0,5.0,F,O,15.0,Y,0.0
5526,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28501607,41.65,1.0,1,1.0,28501607.0,F,0.0,5.0,F,O,15.0,Y,1.0
5527,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28502357,94.5,1.0,0,1.0,28502357.0,M,6.0,3.0,H,R,9.0,Y,0.0
5528,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28502357,129.97,3.0,1,1.0,28502357.0,M,6.0,3.0,H,R,9.0,Y,1.0
5529,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28505705,313.97,3.0,0,1.0,28505705.0,F,0.0,8.0,I,R,2.0,N,0.0
5530,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28505705,154.48,2.0,1,1.0,28505705.0,F,0.0,8.0,I,R,2.0,N,1.0
5531,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,28531178,59.0,1.0,0,1.0,28531178.0,M,0.0,7.0,S,R,0.0,N,0.0
5532,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,28531178,196.48,2.0,1,1.0,28531178.0,M,0.0,7.0,S,R,0.0,N,1.0
5533,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28534937,104.96,4.0,0,1.0,28534937.0,F,9.0,7.0,I,O,13.0,Y,0.0
5534,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28534937,21.42,1.0,1,1.0,28534937.0,F,9.0,7.0,I,O,13.0,Y,1.0
5535,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28535214,256.51,3.0,0,1.0,28535214.0,F,0.0,8.0,N,O,1.0,Y,0.0
5536,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28535214,332.23,2.0,1,1.0,28535214.0,F,0.0,8.0,N,O,1.0,Y,1.0
5537,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28537268,359.72,7.0,0,1.0,28537268.0,F,0.0,6.0,H,O,4.0,Y,0.0
5538,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28537268,277.34,10.0,1,1.0,28537268.0,F,0.0,6.0,H,O,4.0,Y,1.0
5539,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,28537383,806.16,7.0,0,1.0,28537383.0,M,5.0,5.0,Z,O,10.0,Y,0.0
